nama_hewan,aksi,durasi_detik,waktu_mulai
Wilson,bermain,3405,04-03-2026 08:55:49
Wilson,latihan,1134,02-03-2026 14:46:25
Punch,bermain,490,02-03-2026 14:07:52
Wilson,grooming,193,03-03-2026 16:49:10
Punch,tidur_malam,28099,05-03-2026 21:41:51
Punch,grooming,235,05-03-2026 14:47:32
Punch,minum,9,03-03-2026 08:33:10
Punch,bermain,3549,04-03-2026 11:19:08
Punch,berjalan,1423,03-03-2026 07:38:59
Wilson,tidur_siang,3619,06-03-2026 13:40:50
Wilson,grooming,247,07-03-2026 12:53:30
Punch,tidur_malam,27485,04-03-2026 23:10:24
Punch,makan_pagi,99,02-03-2026 07:02:56
Wilson,tidur_siang,6936,04-03-2026 15:35:54
Wilson,latihan,2043,04-03-2026 12:37:15
Wilson,latihan,1032,03-03-2026 15:32:28
Punch,tidur_malam,28920,05-03-2026 22:29:15
Wilson,makan_pagi,128,07-03-2026 09:25:06
Punch,minum,33,04-03-2026 11:05:51
Punch,tidur_malam,26740,06-03-2026 21:05:59
Punch,tidur_malam,32294,07-03-2026 23:57:24
Punch,tidur_malam,23395,07-03-2026 21:39:46
Punch,makan_pagi,229,04-03-2026 08:51:58
Punch,tidur_siang,3866,07-03-2026 14:39:48
Punch,minum,34,05-03-2026 10:57:52
Punch,makan_malam,658,05-03-2026 20:13:37
Punch,minum,30,03-03-2026 06:12:11
Punch,latihan,991,03-03-2026 13:57:24
Wilson,tidur_siang,4747,07-03-2026 12:40:54
Wilson,mandi,764,05-03-2026 07:16:34
Wilson,istirahat,875,07-03-2026 15:16:24
Punch,minum,19,03-03-2026 18:05:28
Punch,grooming,588,06-03-2026 09:18:52
Wilson,makan_malam,189,06-03-2026 19:46:00
Punch,makan_pagi,432,03-03-2026 09:26:32
Punch,makan_pagi,106,04-03-2026 07:39:41
Punch,tidur_malam,23342,01-03-2026 23:22:19
Wilson,mandi,723,02-03-2026 10:37:19
Punch,makan_siang,148,03-03-2026 14:10:08
Punch,istirahat,1427,02-03-2026 17:06:04
Punch,latihan,1382,07-03-2026 12:25:51
Punch,tidur_malam,31343,06-03-2026 23:57:22
Wilson,grooming,60,05-03-2026 16:15:10
Punch,tidur_malam,25493,05-03-2026 21:25:11
Punch,tidur_malam,30626,07-03-2026 21:00:39
Punch,makan_pagi,579,04-03-2026 07:33:38
Wilson,grooming,367,02-03-2026 17:19:04
Punch,istirahat,133,07-03-2026 17:45:34
Wilson,bermain,2805,06-03-2026 15:05:47
Wilson,makan_pagi,99,02-03-2026 06:16:14
Punch,minum,21,06-03-2026 20:44:54
Punch,makan_malam,1191,06-03-2026 20:43:50
Wilson,makan_malam,1159,06-03-2026 18:05:56
Punch,makan_pagi,267,03-03-2026 07:53:47
Punch,istirahat,792,03-03-2026 13:56:24
Punch,bermain,2844,07-03-2026 18:58:44
Wilson,berjalan,174,07-03-2026 15:44:00
Wilson,istirahat,921,02-03-2026 14:50:13
Punch,grooming,174,02-03-2026 11:02:01
Punch,grooming,89,02-03-2026 14:09:44
Punch,tidur_malam,22298,02-03-2026 23:41:40
Punch,istirahat,1680,01-03-2026 11:54:37
Wilson,makan_siang,906,07-03-2026 11:56:55
Punch,makan_siang,190,02-03-2026 12:07:02
Punch,latihan,843,06-03-2026 12:30:06
Punch,latihan,2035,02-03-2026 12:20:21
Wilson,tidur_malam,22393,03-03-2026 22:59:18
Wilson,minum,59,07-03-2026 15:32:30
Wilson,grooming,91,06-03-2026 09:50:26
Wilson,mandi,841,07-03-2026 07:22:30
Punch,mandi,213,05-03-2026 08:45:55
Wilson,makan_pagi,355,04-03-2026 06:33:12
Punch,tidur_malam,24623,03-03-2026 22:06:31
Wilson,grooming,222,03-03-2026 17:16:36
Wilson,makan_siang,345,06-03-2026 12:31:10
Punch,berjalan,334,07-03-2026 18:35:50
Wilson,minum,52,01-03-2026 12:59:25
Punch,bermain,1361,06-03-2026 08:23:13
Wilson,bermain,2703,05-03-2026 16:10:24
Punch,berjalan,1531,02-03-2026 15:38:48
Punch,minum,60,05-03-2026 11:33:09
Wilson,latihan,2097,05-03-2026 13:10:29
Wilson,grooming,718,02-03-2026 11:21:29
Punch,mandi,840,02-03-2026 09:19:48
Punch,istirahat,1354,02-03-2026 13:46:20
Wilson,makan_pagi,164,02-03-2026 08:12:16
Punch,latihan,907,01-03-2026 11:24:09
Wilson,istirahat,343,03-03-2026 16:17:12
Punch,makan_malam,145,02-03-2026 20:29:02
Wilson,bermain,1333,06-03-2026 11:32:40
Wilson,tidur_malam,28230,02-03-2026 22:38:47
Punch,istirahat,1323,02-03-2026 16:44:36
Wilson,makan_siang,374,06-03-2026 12:43:11
Wilson,bermain,520,03-03-2026 12:40:44
Wilson,makan_siang,440,07-03-2026 14:45:45
Wilson,bermain,1796,04-03-2026 15:01:39
Punch,latihan,2306,03-03-2026 08:24:53
Punch,tidur_malam,24873,03-03-2026 23:13:10
Wilson,tidur_siang,5697,07-03-2026 15:34:13
Punch,latihan,1980,07-03-2026 13:33:21
Wilson,makan_siang,370,06-03-2026 12:25:32
Wilson,latihan,1937,01-03-2026 12:17:24
Punch,tidur_malam,31898,01-03-2026 22:58:26
Wilson,grooming,819,03-03-2026 10:14:19
Wilson,mandi,288,02-03-2026 10:29:13
Punch,tidur_siang,6404,07-03-2026 13:30:41
Punch,makan_pagi,188,03-03-2026 09:29:18
Wilson,minum,50,07-03-2026 19:14:17
